name;operator;city;postcode;street;housenumber;amenity;office;shop;geom
Inos;;;22081;Finkenau;1;restaurant;;;0101000020E61000000131AE5D7F0F2440B4075A8121C94A40
Hamburger Volksbank;Volksbank;Hamburg;22083;Hamburger Straße;148;bank;;;0101000020E61000005241EA1B3D132440B486414FB9C94A40
KreHaarTiv;;Hamburg;22083;Hamburger Straße;164;;;hairdresser;0101000020E610000085C31C4EAA132440B0045262D7C94A40
;;Hamburg;22083;Hamburger Straße;176;;;dry_cleaning;0101000020E610000095A938C42E142440FB70DA9DFFC94A40
Falafel Factory;;Hamburg;22081;Barmbeker Markt;40;restaurant;;;0101000020E61000001BF5108DEE142440256A58422DCA4A40
Sushi-Bar;;;;;;fast_food;;;0101000020E61000002769A3DF6315244078C7180E3ACA4A40
Asia Supermarket;;;;;;;;supermarket;0101000020E610000026F61ACC70152440D595CFF23CCA4A40
Asia Haus;;;;;;fast_food;;;0101000020E61000001F99B3E32B162440A400513063CA4A40
Pizza Max;;;;;;fast_food;;;0101000020E610000013C3C4D5B71624401ADB10887CCA4A40
;;;;;;;;kiosk;0101000020E6100000BDC1BC6CE0172440276DAAEE91CA4A40
Dergah;;;;;;restaurant;;;0101000020E61000004EA2B9A9DC1B24409B54D91C8CCB4A40
Paul Winkler & Sohn;;;;;;;;kiosk;0101000020E61000000913EBF93F1C24405D89E53B9DCB4A40
Pizza Jungs;;;;;;fast_food;;;0101000020E610000066ED0099E71A2440B5BEEDAE58CB4A40
New Asia;;;;;;;;supermarket;0101000020E610000031B8E68EFE172440130EBDC5C3CA4A40
KIK;;Hamburg;22083;Hamburger Straße;205-207;;;clothes;0101000020E6100000CE075FF305142440EF7B2F1922CA4A40
Goldener Drache;;;;;;restaurant;;;0101000020E6100000BE423058BB13244020C9F66BFCC94A40
;;;;Hamburger Straße;169;;;laundry;0101000020E6100000A1C7DE41A2132440343D17FCECC94A40
;;;;;;restaurant;;;0101000020E6100000DFFB1BB457132440A58AE255D6C94A40
Der Brotkorb;;;;;;;;bakery;0101000020E6100000C5549F50F49523405AA4E430F3BB4A40
Nur hier;;Neu Wulmstorf;21629;Bahnhofstraße;37d;;;bakery;0101000020E610000067930DB5B7952340A3FF2FE8CEBB4A40
Café Lüküs;;;;Falkensteiner Ufer;101;;;kiosk;0101000020E6100000E30973710A892340352E77C13BC84A40
Grün Anlagen GmbH;;Hamburg;20144;Grindelallee;176;bank;;;0101000020E61000004ACBED0335F52340B497C86020C94A40
Zweitausendeins;;;;;;;;books;0101000020E61000006089512168F623409616E41D96C84A40
Nur Hier;;Hamburg;20146;Grindelallee;126;;;bakery;0101000020E6100000095C0D3FEEF52340AE2EA704C4C84A40
Laxmi Reisen;;Hamburg;20146;Bornstraße;;;;travel_agency;0101000020E61000002DAE96E079F6234007859C52B9C84A40
Blickkontakt;;Hamburg;20146;Grindelhof;;;;optician;0101000020E6100000F09293E414F82340837CBF8701C94A40
Calzeolarius;;Hamburg;20146;Grindelhof;39;;;shoe_repair;0101000020E61000009EB9E23D62F72340CC22B9A1CEC84A40
China Snack;;Hamburg;;Grindelhof;;fast_food;;;0101000020E6100000978EDE1566F62340CF08803B9AC84A40
Kumpir;;Hamburg;20146;Grindelhof;;fast_food;;;0101000020E6100000DBCF189C77F62340B01177AB9DC84A40
Olympia Grill;;;;;;restaurant;;;0101000020E610000065CCB8043BF9234086B01A4B58D64A40
Shell;Shell;;;;;fuel;;convenience;0101000020E61000005D6045FC79F923409AE5FC5E54D64A40
;;;;;;;;vacant;0101000020E610000085526AE514172440719A99F452C44A40
Swords and more;;Hamburg;20146;Grindelallee;;;;weapons;0101000020E610000048D96CF651F723405B5C887A66C84A40
Bolero;;Hamburg;20148;Rothenbaumchaussee;78;restaurant;;;0101000020E6100000239CBB0276FA234064EE5A423EC94A40
Apotheke am Rothenbaum;;Hamburg;20148;Rothenbaumchaussee;76;pharmacy;;;0101000020E61000005A31B7D672FA2340B5CE53782BC94A40
Swedish Cream;;Hamburg;20148;Rothenbaumchaussee;;cafe;;;0101000020E6100000D105F52D73FA2340BEC6890A30C94A40
Dat Backhus;;Hamburg;20148;Rothenbaumchaussee;;;;bakery;0101000020E6100000A82A23E472FA234004AF963B33C94A40
Gopalam;;Hamburg;20146;Grindelallee;159;restaurant;;;0101000020E6100000E1383AF8D3F423408750A5660FC94A40
Liebling;;;20146;Hartungstraße;;cafe;;;0101000020E6100000133CCFE9C3F8234089E30A3900C94A40
Eiszeit;;;20148;Rothenbaumchaussee;;cafe;;;0101000020E6100000197ECBF7E7F92340CBA07F27D2C84A40
Kiosk;;;;;;;;kiosk;0101000020E61000008AA2F611AEF62340F4F5C65A8DC64A40
Cafe Knallhart;;Hamburg;20146;Von-Melle-Park;;cafe;;;0101000020E610000099F2C6EEA7F723409A03A9B981C84A40
Rentzelcenter;;Hamburg;20146;Rentzelstraße;36 - 48;;;mall;0101000020E6100000462B52BC25F42340BF918A1068C84A40
Peking-Enten-Haus;;Hamburg;20146;Rentzelstraße;48;restaurant;;;0101000020E6100000534B299E69F42340C339D9BC60C84A40
Park Cafe;;;;;;cafe;;;0101000020E61000004AD576137CE723406F5402BDCBC64A40
Alexander Apotheke City Süd;Jörg Barkau;Hamburg;20097;Beim Strohhause;2;pharmacy;;;0101000020E6100000D008DBF40C0A2440C22CFE00B5C64A40
;;;;;;fast_food;;;0101000020E6100000B49A09E12C942340EE4CFCAC8DC44A40
Laufauf;;Hamburg;20095;Kattrepel;2;restaurant;;;0101000020E6100000548AC2D3D0FF2340EFD2E17C45C64A40
Rucola e Parma;;;;;;restaurant;;;0101000020E6100000963A6D324FF32340052450B3F6C84A40
Tip-top Textilpflege;;;;;;;;laundry;0101000020E6100000617AB1E6B6472440944B885EEBCF4A40
;;Hamburg;21107;Fährstraße;44;;;bakery;0101000020E610000031838CDBC3F923406DBC2A06FEC14A40
Alster Schnellreinigung;;;;;;;;dry_cleaning;0101000020E61000004FAECED666042440435E6ADF37CA4A40
;;;;;;fast_food;;;0101000020E6100000B3976DA7ADE12340D0AE8C576ACC4A40
;;;;;;fast_food;;;0101000020E6100000A452EC681CE223407C34304D6CCC4A40
Buchhandlung am Mühlenkamp;;Hamburg;22303;Mühlenkamp;39;;;books;0101000020E610000088DD770C8F052440B423D5777ECA4A40
Lidl;;Hamburg;21073;Wilstorfer Straße;48;;;supermarket;0101000020E61000009A29ADBF25F823403A1AD18778BA4A40
Crumpler Shop Hamburg;;Hamburg;20357;Schanzenstraße;83;;;bag;0101000020E610000086ADD9CA4BEE234068846D7A06C84A40
Staples Spaldingstraße;;Hamburg;20097;Nordkanalstraße;27;;;stationery;0101000020E61000004F513FB9B70824407D45121846C64A40
Kiez Curry;;;;;;fast_food;;;0101000020E6100000B586F7C19EEB23400398327040C64A40
dm;;Hamburg;22549;Bornheide;9;;;chemist;0101000020E6100000C2AF4797EDB523401C97169A90CA4A40
Lidl;;;;;;;;supermarket;0101000020E61000002EA97FB50FB6234076BA3D528ECA4A40
Dat Backhus;;Hamburg;22301;Poelchaukamp;27;;;bakery;0101000020E6100000A88C24E6FE03244031EE06D15ACA4A40
Hamburger Sparkasse;Hamburger Sparkasse;Hamburg;22309;Fuhlsbüttler Straße;490;bank;;;0101000020E6100000D7E07D552E14244065D5D63ED3CD4A40
Das Fahrrad;;Hamburg;21033;Ladenbeker Furtweg;12;;;bicycle;0101000020E61000009DA4541DCD602440DB3928BC5FC04A40
Mickley's All Stars;;Hamburg;20097;Hammerbrookstraße;92;restaurant;;;0101000020E610000020758588E50C24406D335F6FACC54A40
