name;operator;city;postcode;street;housenumber;amenity;office;shop;geom
Hansefloristik;;;20355;Thielbek;15;;;vacant;0101000020E61000009669EA2BFEF52340182E066A8CC64A40
Vineria Capriccio;;;20355;Thielbek;12;restaurant;;;0101000020E610000087E28E37F9F523409A620E828EC64A40
Fräulein Bob;;;20355;Poolstraße;41;;;hairdresser;0101000020E610000016B88663A7F523405E15A8C5E0C64A40
Bang & Olufsen;;;;;;;;hifi;0101000020E6100000F2ED5D83BEFC23409A1947F652C64A40
Back und Kios 55;;;;;;;;convenience;0101000020E6100000DE335C2E2CF5234059AE1287C7B74A40
;;;;;;;;bakery;0101000020E6100000E900778F22F5234095282092C6B74A40
;;;;;;cafe;;;0101000020E61000009C44CE0C2CF523409B2D0F88C6B74A40
Thai Temple Massage;;;;;;;;massage;0101000020E61000006B025658BAF82340A55D96C0F7C64A40
Die Trauringe;;;;;;;;vacant;0101000020E61000005DB8BDEEBEF823406EBF21F9EFC64A40
Emporio Armani;;;;;;;;vacant;0101000020E6100000FBA3B95F4FF92340039E0F2ACCC64A40
Dat Backhus;;Hamburg;20095;Speersort;10;;;bakery;0101000020E6100000FEF2C98AE1FE2340FB1F05F467C64A40
;;;;;;;;florist;0101000020E61000004883802150FE23407C51161978C64A40
Katrin Mottschall;;;;;;;;hairdresser;0101000020E61000005356783CD2F92340BE7ACB8B02C74A40
Männersache;;;20355;Johannes-Brahms-Platz;9;;;clothes;0101000020E61000004C7963F7D3F52340AACF1FE406C74A40
Pool 34;;;20355;Poolstraße;34;;;clothes;0101000020E610000001BCAA58A1F52340D314014EEFC64A40
Deniz Market;;;20355;Kurze Straße;34;;;greengrocer;0101000020E6100000F7A9CF7A9DF523409F9F98ABD5C64A40
Pure Records;;;;;;;;music;0101000020E6100000C9C6287403F62340B94379D5B9C64A40
Pasteleria Mococo;;;;;;restaurant;;;0101000020E61000002162DE3E06F6234075C300D3B3C64A40
Frida Kolorida;;;20355;Kohlhöfen;9;;;gift;0101000020E610000012143FC6DCF523400CA9EC05B0C64A40
die Weingaleristen;;;;;;pub;;alcohol;0101000020E6100000F276291A10F62340BF9B1320AFC64A40
La Croque;;;20355;Markusstraße;17;fast_food;;;0101000020E61000000962EAF879F52340DAB8B4D084C64A40
Perle;;;;;;;;boutique;0101000020E6100000E9297288B8F52340BC99D18F86C64A40
Rolf Kozian;;;;;;;;newsagent;0101000020E6100000FEE77AEC78F523404A70D9D770C64A40
Lust auf Schuh;;;;;;;;shoes;0101000020E61000007FCE93217DF52340C2EE2A5A6FC64A40
DUXIANA Hamburg;;;20355;Valentinskamp;63;;;bed;0101000020E6100000ABB0BE2610F723401118906225C74A40
Schanzenbäckerei;;;20355;Valentinskamp;63;;;bakery;0101000020E6100000BC500A044BF723407C58B96125C74A40
Pirate Bikes;;;20355;Valentinskamp;47;;;bicycle;0101000020E610000011F7A287EBF623408ED4D6E319C74A40
baby-walz;;;;Caffamacherreihe;8;;;baby_goods;0101000020E6100000BB8509FE12F823407D6F1D2D18C74A40
Frank Rudolf Herrenladen;;;;;;;;clothes;0101000020E610000033953435BFF82340FAFA100A00C74A40
Blumen Paradies;;;;;;;;florist;0101000020E61000004CEC905154F823400447B87F1BC74A40
Ernesto Ernst;;;;;;;;hairdresser;0101000020E61000004B3668F9CBF823406B5496D700C74A40
Object Carpet;;;;;;;;carpet;0101000020E6100000609BE84E0BF92340E92B483316C74A40
FIRST Reisebüro;;;;;;;;travel_agency;0101000020E6100000850D4FAF94F92340DE335C2E2CC74A40
Meyer Lansky's;;;;;;bar;;;0101000020E61000006D770FD07DF923400567953E19C74A40
;vodafone;;;;;;;mobile_phone;0101000020E610000094331477BCF923400DD4186316C74A40
Optiker Salmen;;;;;;;;optician;0101000020E610000053E3EF28DFF923400D95DAE621C74A40
Mad about Juice;;;;Dammtorstraße;29-33;restaurant;;deli;0101000020E6100000D1F9DF00E9F92340077FBF982DC74A40
Die Bank;;Hamburg;20354;Hohe Bleichen;17;restaurant;;;0101000020E610000015A28D6D63F9234086991139D8C64A40
Birkenstock;;;;;;;;shoes;0101000020E6100000DAAED007CBF8234024F1F274AEC64A40
Campus Suite;;Hamburg;20354;Große Bleichen;68;cafe;;;0101000020E61000009A19EC3CE0F82340424C1D3FAFC64A40
enfants;;;;;;;;art;0101000020E6100000DAFA8E86F8F423409E0F2ACCD6C64A40
North Sails;;;;;;;;clothes;0101000020E61000007BC1A73979F92340079D103AE8C64A40
Goldschmiede Bergmann;;;;;;;;jewelry;0101000020E61000006E44413A86F52340F8CB82E4F8C64A40
Geigenbau Matthias Tödtmann;;;;;;;;musical_instrument;0101000020E61000002823D3461AF523406AAFF490DFC64A40
Stone Island;;;;;;;;clothes;0101000020E6100000D5AB12769BF92340A95EC834E4C64A40
Pfandkredit Hütten;;;;;;;;pawnbroker;0101000020E61000003FB1A94E62F32340BB48A12C7CC64A40
Kulturbehörde;;;;;;;government;;0101000020E6100000501DAB949EF92340F08E8CD5E6C64A40
;;;;;;;;vacant;0101000020E6100000632B685A62F52340207EFE7BF0C64A40
Öffentliche Rechtsauskunft- und Vergleichsstelle Hamburg (ÖRA);;;;;;;government;;0101000020E61000005F645D3700FA23404D7CFF3053C74A40
Kamm In;;;;Neanderstraße;28;;;hairdresser;0101000020E6100000AF754E5887F42340C1481E3E9FC64A40
;;;;;;;;antiques;0101000020E610000088DD770C8FF92340BFD53A7139C74A40
Starbucks;;;;;;cafe;;;0101000020E6100000614326CFABFC2340453E9E4C92C64A40
Holzblasinstrumente Christoph Seifert;;Hamburg;20355;Hütten;54;;;musical_instrument;0101000020E6100000BFB5B86BAEF32340347DC04D90C64A40
Artistocrat;;;;;;;;tattoo;0101000020E6100000097888354BF4234039883144A9C64A40
Elektro Makhdum;;;22547;Luruper Hauptstraße;271;;;electronics;0101000020E6100000763E970403B7234050255EF987CC4A40
kik;;;;;;;;clothes;0101000020E6100000D5DEF137EBB5234060178F9C96CA4A40
;;;;;;;;vacant;0101000020E6100000C3589533CAB52340688819D0C1CA4A40
Honkong Express;;;;;;fast_food;;;0101000020E61000002CAD7598E5B5234049371D5C95CA4A40
;;;;;;;;vacant;0101000020E6100000AE60C037F2B5234030794D5997CA4A40
Alte Liebe;;Hamburg;20457;Koreastraße;1;restaurant;;;0101000020E6100000D8DB662AC4FF23408A65E9F989C54A40
COAST by east;;;20457;Großer Grasbrook;14;restaurant;;;0101000020E6100000354F649C75FC2340FA2EA52E19C54A40
Naturfrisör;;;;;;;;hairdresser;0101000020E61000008A2AB28CC337244003582E652AD04A40
Da Vinci;;Hamburg;22547;Fahrenort;139;;;hairdresser;0101000020E61000005C3B511212B9234004029D499BCC4A40
;;;;;;;;massage;0101000020E6100000CBCAE5F516B92340CAEF236D99CC4A40
Patio Antiques;;;;;;;;antiques;0101000020E6100000150B32B89CF92340D22AE917DBC64A40
Elfenreich;;Hamburg;20354;Dammtorstraße;22;;;clothes;0101000020E610000020BAA0BE65FA2340FC647BE35AC74A40
Joe & The Juice;;;;;;cafe;;;0101000020E6100000C41BE3D418FA23402836D5496CC74A40
Photo-Service-Shop Dammtorstraße;;Hamburg;20354;Dammtorstraße;22;;;photo;0101000020E6100000385ECB7564FA23409D48D51B5AC74A40
Hamza Kebab;;Hamburg;20354;Dammtorstraße;23;fast_food;;;0101000020E6100000CE6B915962FA2340B590DB8A58C74A40
Tony & Guy;;Hamburg;20354;Gänsemarkt;44;;;hairdresser;0101000020E610000091BEA48C13FA2340864DAE731DC74A40
Pokale Hamburg Marten;;Hamburg;22547;Luruper Hauptstraße;271;;;trophy;0101000020E61000004449EDEAFAB62340FCF8F0D187CC4A40
La Scala;;Hamburg;20251;Falkenried;54;restaurant;;;0101000020E6100000FDA13E6E64F32340C27174F0A7CA4A40
;;;;;;;;hairdresser;0101000020E61000008D7450D378F32340287F9CD5A7CA4A40
Eiszeit;;;;;;cafe;;;0101000020E61000004F9DA27E72F32340B131546A9BCA4A40
Kaytan;;;22547;Luruper Hauptstraße;273;;;glaziery;0101000020E6100000EA3EA5EFDAB62340D337C4D386CC4A40
Riu Bios;;Hamburg;20251;Eppendorfer Weg;252;cafe;;convenience;0101000020E61000007FF21C3636F42340188BF040AECA4A40
;;;22547;Luruper Hauptstraße;271;;;vacant;0101000020E61000005BD82EC8F1B623404AF25CDF87CC4A40
Schuh Bode;;;;;;;;shoes;0101000020E6100000C913F70E6D82244018B5FB5580BE4A40
Stanleybet;;;;;;;;gambling;0101000020E61000002EC48FD6BDB22340C782C2A04CCB4A40
Gemeindebüro;;;;;;;administrative;;0101000020E610000091EAE005B687244078AFA4260BB54A40
Apotheke zur alten Post;Jörg Mewes;Hamburg;21029;Weidenbaumsweg;6;pharmacy;;;0101000020E6100000EF833D377E6A24406642DD51ADBE4A40
hugs-Apotheke;;Hamburg;21033;Herzog-Carl-Friedrich-Platz;1;pharmacy;;;0101000020E610000025ED461FF36924408A891755D0BE4A40
Schanzenbäckerei;;;;;;;;bakery;0101000020E6100000160D631C6DFA234047C2082B5FC74A40
;;;;;;;;car_repair;0101000020E6100000DC77561C1842244045DF388485D24A40
Ti Breizh;;Hamburg;20459;Deichstraße;39;restaurant;;;0101000020E6100000FEF565C460F92340925B38B5D8C54A40
Ristorante Mercato;;;;;;restaurant;;;0101000020E610000066C5CB2E73F5234046764AAC31BB4A40
IconScreen GmbH;;Hamburg;22587;Kronprinzenstraße;26;;company;;0101000020E610000088951B5602AB23401FABEF575CC84A40
Stadtbäckerei Junge;;;;;;;;bakery;0101000020E6100000E1496650C8B123400979985187C94A40
AYDIN;;Hamburg;22549;Rugenbarg;12a;;;convenience;0101000020E6100000ABED26F8A6B12340A741D13C80C94A40
Dr. med. Sabine Rath und Kathrin Gross;;;;;;doctors;;;0101000020E61000007B2A4C84B2B52340DF1F4A0F9ECA4A40
Dr. Kay Steidtmann u. Dr. Andrea Paps;;;;;;doctors;;;0101000020E61000007D92E0B2AFB5234037D5A425A0CA4A40
Dr. med. Frank Scharlau;;;;;;doctors;;;0101000020E6100000A4DA4C2ABFB5234050A7E1009FCA4A40
Ihr Friseursalon;;Schenefeld;;Altonaer Chaussee;;;;hairdresser;0101000020E61000001C9B1DA9BEB3234051888043A8CC4A40
Dr. R. Stühmer;;;;;;doctors;;;0101000020E61000009589B6BEA3B52340F8F186EA9CCA4A40
Dr. W-E Garbe;;;;;;doctors;;;0101000020E61000007D92E0B2AFB523404BDC74159CCA4A40
Schockmann;;;;;;;;shoes;0101000020E61000001CD71AA5A6F823400AE8740FBFC64A40
Tabak-Shop am Axel-Springer-Platz;;;;;;;;newsagent;0101000020E6100000F5103235AEF823402BFF5A5EB9C64A40
Matsunaga;;;20355;Stadthausbrücke;5;;;hairdresser;0101000020E61000008DD13AAA9AF823407FC0A84995C64A40
City Textilpflege;;;;;;;;dry_cleaning;0101000020E61000004BDFB595A8F823402F54FEB5BCC64A40
Max B.;;;;Max-Brauer-Allee;166;cafe;;;0101000020E6100000467F68E6C9E52340C0B4A84F72C74A40
Hexenkessel Altona;;;;;;fast_food;;;0101000020E6100000212B5327FBD623405DCBBFF110C84A40
Kebap;;Hamburg;22761;Bahrenfelder Steindamm;97;fast_food;;;0101000020E6100000C3BE9D4484D72340E05EE34405C84A40
Royal Cut Herrenfriseur;;;;;;;;hairdresser;0101000020E6100000244333F4F4B223405096B5A8AACC4A40
;;;;;;;;kiosk;0101000020E610000055ADE012DBB423406571FF91E9CB4A40
Provinzial;;;;;;;insurance;;0101000020E6100000E4E02DEB59B72340A9FDD64E94CC4A40
Hörgeräte Rombkowksy;;Hamburg;20354;Große Theaterstraße;30;;;hearing_aids;0101000020E61000003A0E171461FA234081F0A1444BC74A40
jolie!;;;20354;Dammtorstraße;12;;;clothes;0101000020E6100000918FCCD9F1F923405AEE714B50C74A40
L'Osteria;;;20354;Dammtorstraße;13;restaurant;;;0101000020E6100000AA8999D8D7F92340BC4AD2904CC74A40
Daily;;Hamburg;20354;Stephansplatz;6;restaurant;;;0101000020E6100000AEDC66857DFA23400E97660465C74A40
Nur Hier;;;;;;;;bakery;0101000020E61000001BCBAABEA9FA23400C433FAE68C74A40
nuena;;Hamburg;20354;Stephansplatz;6;;;jewelry;0101000020E6100000E8B11CD775FA23404B45BEA662C74A40
Dr. med Stubbe;;;;;;doctors;;;0101000020E6100000C881B28410C723404A42C7B370BC4A40
Bärbel Petrikowski-Cieslak;;Hamburg;;Luruper Hauptstraße;;;accountant;;0101000020E6100000E774594C6CB623405686713788CC4A40
Abgeordnetenbüro Frank Schmitt;;;;;;;political_party;;0101000020E6100000BBC5B24FB6B723403D08A63FA0CC4A40
;;;22869;Lornsenstraße;9;;;gambling;0101000020E610000073535E865AB22340C4B7B06EBCCC4A40
Schenefelder Goldbörse;;;;;;;;jewelry;0101000020E610000062E014B1E3B2234097B844E4AACC4A40
West Umzüge;Ali Pour Habibi;Schenefeld;22869;Altonaer Chaussee;36;;moving_company;;0101000020E6100000B7ABA11EECB22340FCC56CC9AACC4A40
Joe & The Juice;;;;;;cafe;;;0101000020E61000002322EB5F48F923400AC84DC3A6C64A40
Hellas Stube;;Hamburg;20251;Eppendorfer Weg;247;restaurant;;;0101000020E6100000C388D8BB9AF323407AE75086AACA4A40
Cooko;;Hamburg;22765;Bahrenfelder Straße;211;restaurant;;;0101000020E6100000FD4A8C0A41DB2340A4699AC129C74A40
Peuterey;;;;;;;;boutique;0101000020E61000003A76F5CF78FB2340DB1E189BB1C64A40
GL Cut;;Hamburg;22587;Erik-Blumenfeld-Platz;19;;;hairdresser;0101000020E61000001401F33570A0234080F78E1A13C84A40
FON Friseur;;;;Erik-Blumenfeld-Platz;27a;;;hairdresser;0101000020E61000009C7C694073A02340FD10C07229C84A40
Orient Teppich Exclusiv;;;;;;;;carpet;0101000020E6100000A3E30FABE4A023405F341AAF2FC84A40
China Stube;;;;;;restaurant;;;0101000020E6100000F16206CF29A1234002F6D1A92BC84A40
O2;;;;;;;;mobile_phone;0101000020E6100000848593347FA023406E0E21F829C84A40
;;;;;;doctors;;;0101000020E61000000E15E3FC4DA02340CC1363F437C84A40
Aubade;;;;;;;;clothes;0101000020E610000049C3842C66FB2340C01D4D9AABC64A40
Abercrombie & Fitch;;;;;;;;clothes;0101000020E610000089377C1C17FB23407D39FDEABBC64A40
Esprit;;;;;;;;clothes;0101000020E610000086BCD4BE6FFA23402D184B47EFC64A40
Camper;;;;;;;;shoes;0101000020E61000004C2A093F27FB2340E4BD6A65C2C64A40
Tommy Hilfiger;;;;;;;;clothes;0101000020E6100000E55993B8D8FA234088FE64E7C8C64A40
Florencemoda;;;;;;;;shoes;0101000020E61000008B6D52D158FB2340A1E4C40DAEC64A40
Sahling düfte;;;;;;;;cosmetics;0101000020E6100000745D9D0887FB2340EEF19DF3AEC64A40
lululemon athletica;;;;;;;;clothes;0101000020E6100000332F2C2405FB2340923B1169C0C64A40
Windsor;;;;;;;;clothes;0101000020E610000045C99A47B4FB2340B9269309AEC64A40
mey;;;;;;;;clothes;0101000020E610000012DDB3AED1FA23403F4970D9D7C64A40
Cartoon;;;;;;;;clothes;0101000020E6100000C18D942D92FA2340240CA8DCE9C64A40
Charlotte;;;;;;;;jewelry;0101000020E61000001497E31588FA23402A50D54EDEC64A40
Hallhuber;;;;;;;;clothes;0101000020E6100000CD0B0B49C1FA2340317BD976DAC64A40
comma,;;;;;;;;clothes;0101000020E61000009CBFAECB95FA234091F9DBF9D9C64A40
Stefanel;;;;;;;;clothes;0101000020E61000006D3997E2AAFA23409F85F35FD6C64A40
Mutterland;;;;;;;;deli;0101000020E6100000E54A98C4B4FA2340FAB7CB7EDDC64A40
Lauwigi;;;22549;Rugenbarg;39;;;funeral_directors;0101000020E6100000ED702A08D4B12340A66B8198DFC94A40
City Kumpir;;;20355;Stadthausbrücke;7;fast_food;;;0101000020E6100000829F820D99F82340A1A4C00298C64A40
Zero;;;;;;;;vacant;0101000020E6100000A9CE5955E5F92340734C16F71FC74A40
Nana Hellwege;;;;;;;;jewelry;0101000020E6100000A733411E0BFB2340153F219628C74A40
Südfrüchte Bothur;;;;;;;;greengrocer;0101000020E6100000FF6D60BC30FB2340FD1C7AE640C74A40
joern Friseur;;;;;;;;hairdresser;0101000020E6100000CE1720764BFB234059D647F13BC74A40
Little Italy;;Hamburg;20354;Colonnaden;3;restaurant;;;0101000020E6100000B4B4AE2C2CFB23402CD615D808C74A40
Tabak-Corner Knoop;;;;;;;;newsagent;0101000020E61000005A0F046D17FB234030664B5645C74A40
Sushi Circle;;;;;;restaurant;;;0101000020E6100000CAB3812A24FB2340391DB74E12C74A40
Franziskaner;;;;;;restaurant;;;0101000020E61000005169C4CC3EFB23407AED2D4036C74A40
Tiffany;;Hamburg;20354;Colonnaden;37;restaurant;;;0101000020E6100000BC90B355EEFA234056BE672442C74A40
O2;;;;;;;;mobile_phone;0101000020E6100000D81CD60A89FA2340020FB16609C74A40
Schulz;;;;;;;;antiques;0101000020E6100000E60AEF7211FB23404D03F51C47C74A40
Nivea;;;;;;;;chemist;0101000020E6100000C8D864E833FB234061E05E3EFEC64A40
Animal Tracks;;;;;;;;clothes;0101000020E61000002D81EF9128FB23402F2581BC0DC74A40
American Apparel;;;;;;;;vacant;0101000020E61000001EA3E13900FB23408DC2E4FC03C74A40
Classico;;;;;;;;clothes;0101000020E610000076DFD68283FA23400518963FDFC64A40
Rituals;;;;;;;;cosmetics;0101000020E610000070ECD97399FA234086B6F704E4C64A40
Marc O'Polo;;;;;;;;clothes;0101000020E610000056E01A8E9DFA2340089854C8F0C64A40
Levi's;;;;;;;;clothes;0101000020E6100000A31C716D4DFB2340EF128BCEE8C64A40
eye catcher;;;;;;;;optician;0101000020E6100000EC408CC690FA2340C0661426E7C64A40
Niemeyer;;;;;;;;vacant;0101000020E610000049B258D471FA2340CC71B8A008C74A40
Kunstsupermarkt;;;;;;;;art;0101000020E610000010A7DDF98FFA2340D3D5C2D1FAC64A40
Telekom;;;;;;;;mobile_phone;0101000020E610000084B9DDCB7DFA23404CB9B18F04C74A40
Boss;;;;;;;;clothes;0101000020E6100000BC1F5CA6CBFB23404FE960FD9FC64A40
mobilcom/debitel;;;;;;;;mobile_phone;0101000020E6100000739B15F659FA234022C43AFA04C74A40
7 for all mankind;;Hamburg;20354;Poststraße;51;;;clothes;0101000020E6100000FAB7CB7EDDF923408C683BA6EEC64A40
Lolli;;;;;;;;boutique;0101000020E610000081A1FDFE83FA234076B4609802C74A40
Kunst-Direkt;;;;;;;;art;0101000020E610000097AFCBF09FFA23407D5578E118C74A40
;;;;;;;;clothes;0101000020E61000002A779FE3A3F923400F4757E9EEC64A40
The Body Shop;;Hamburg;20354;Gerhofstraße;38;;;cosmetics;0101000020E6100000DDB930D28BFA2340DEEDD522FDC64A40
La Prego;;Hamburg;20354;Gerhofstraße;32;restaurant;;;0101000020E6100000CB9F6F0B96FA234028E08DBBF7C64A40
bellybutton;;Hamburg;20354;Poststraße;36;;;clothes;0101000020E61000006102B7EEE6F9234067248CB0F2C64A40
Adenauer & Co;;Hamburg;20354;Gerhofstraße;38;;;clothes;0101000020E6100000803969D086FA2340C485F2F400C74A40
Dolce&Gelato;;;;;;cafe;;;0101000020E610000045A56CEC6DFA234009A7052FFAC64A40
Mexx;;;;;;;;clothes;0101000020E6100000198AE02472FA2340701CC242F7C64A40
l'tur;;;;;;;travel_agent;travel_agency;0101000020E6100000BD7CA13660FA2340AB51595E03C74A40
The pashmina shop;;Hamburg;20354;Gerhofstraße;38;;;boutique;0101000020E61000002C63E87D88FA2340483C3487FFC64A40
Goldene Zeiten;;Hamburg;20354;Gerhofstraße;40;;;jewelry;0101000020E6100000BC4ED99F7AFA23409EB1D41F06C74A40
Tchibo;;;;;;cafe;;;0101000020E610000059C922A875FA234077B7578BF4C64A40
Optiker Carl;;;;;;;;optician;0101000020E6100000C5FB164273FA2340DBEED412E1C64A40
Stichweh;;;;;;;;dry_cleaning;0101000020E61000006E066E9340F92340A64D30F724C74A40
Tom Tailor;;;;;;;;clothes;0101000020E610000000E7C589AFFA2340D0019365D2C64A40
Marks Uhren;;Hamburg;20354;Poststraße;51;;;watches;0101000020E6100000B7DE2527C9F923404B5F0839EFC64A40
winelink;;;;Valentinskamp;91;;;vacant;0101000020E61000007171F9B42FF923407625B84725C74A40
PlanetSports;;;;;;;;sports;0101000020E610000095B2B1B739FA2340705F07CE19C74A40
Urban Outfitters;;;;;;;;boutique;0101000020E6100000645C717154FA2340249AE55718C74A40
sandro;;Hamburg;20354;Poststraße;36;;;boutique;0101000020E6100000820B68D8DEF92340A8131AD2F2C64A40
Blume 2000;;;;;;;;florist;0101000020E6100000506E803E36FA234052627C3D04C74A40
Lumas;;Hamburg;20354;Poststraße;37;;;art;0101000020E61000007D0E87003BFA2340994A3FE1ECC64A40
honey garden;;;;;;;;beauty;0101000020E6100000B5835B881FF923407625B84725C74A40
Red Wing Shoes;;Hamburg;20354;Poststraße;41;;;shoes;0101000020E61000004675841D10FA2340A53A7881EDC64A40
Landy Nails;;;;;;;;cosmetics;0101000020E6100000FDDAFAE93FFB2340ED4D67823CC74A40
Oktay Shoes;;;;;;;;shoes;0101000020E6100000D7FA22A12DFB23406907B7103FC74A40
Xtra Art;;;;;;;;boutique;0101000020E6100000A335502A2BFB2340ED191DEB3DC74A40
Ralph Lauren;;;;;;;;boutique;0101000020E61000004F626B11ACF92340C5B0C398F4C64A40
Peter Engel;;;;;;;;hairdresser;0101000020E61000001B8F087C34FB234015A7FF5140C74A40
Airfield;;;;;;;;clothes;0101000020E61000000F153EB6C0F923408044B86EEFC64A40
Farmer's Snack;;;;;;;;nuts_raisins;0101000020E61000005C4BB7DBE4FA2340CC176A0366C74A40
MaxMara;;;;Schleusenbrücke;1;;;clothes;0101000020E610000067FD1CD59FFB23406EF4D6659DC64A40
Wau & Mau;;;;;;;;pet;0101000020E61000007863416150FA2340426AC999DCC64A40
Kirchhoff;;;;;;;;boutique;0101000020E6100000B72BF4C132FA23408278B878D3C64A40
Timberland;;;;;;;;shoes;0101000020E6100000A353FC8458FA2340E3F43F0AE8C64A40
Wohngefühl;;;;;;;;interior_decoration;0101000020E6100000CBB61D64A3F92340736C98FCAAC64A40
elkline;;Hamburg;20354;Große Bleichen;36;;;clothes;0101000020E61000009ABA8674D3F92340078E1546C4C64A40
Property of...;;Hamburg;20354;Poststraße;39;;;bag;0101000020E610000017EF6C3425FA23406F55C84BEDC64A40
The Fjord House;;;;;;;;boutique;0101000020E6100000BBC0406BD9F923402AE8F692C6C64A40
Douglas;;;;;;;;cosmetics;0101000020E6100000376F9C14E6F92340E2218C9FC6C64A40
Lindner;;;;;;cafe;;;0101000020E6100000C3A85AC125FA2340268BA0D6D9C64A40
Kirchhoff;;;;;;;;boutique;0101000020E6100000BBFE13121FFA23407063B323D5C64A40
Schuh Kay;;;;;;;;shoes;0101000020E6100000B2D183CCDFFA2340FDCA3967FAC64A40
Langhagen & Harnisch;;;;;;;;art;0101000020E610000083E2C798BBFA2340FA50FDDE01C74A40
closed;;;;;;;;clothes;0101000020E6100000CF09EB1049FA2340E2BABDFFEAC64A40
Vorwerk;;;;;;;;vacuum_cleaner;0101000020E6100000E8D209B2AFFA234040DDE5C704C74A40
stegmann;;;;;;;;boutique;0101000020E610000081762C5B90FA2340DF6C18AA07C74A40
Charlotte;;;;;;;;jewelry;0101000020E6100000C64F88258AF92340330D79BAA9C64A40
Quartier 30;;;;;;;;boutique;0101000020E6100000B727EDB204FA2340654227DFC7C64A40
Bree;;;;;;;;bag;0101000020E6100000BFD133620BFA234078F01307D0C64A40
Chopard;;;;;;;;boutique;0101000020E610000073E206D737FB2340B18C0DDDECC64A40
IL BARBIERE Salvatore;;;;;;;;hairdresser;0101000020E61000006308A5D4CAF9234013DE793DF3C64A40
Alligator;;;;;;;;bag;0101000020E610000061F6FC7ACFFA23406022DE3AFFC64A40
Prange;;;;;;;;shoes;0101000020E6100000EFA9413D22FB2340A376BF0AF0C64A40
Sahling düfte;;;;;;;;cosmetics;0101000020E6100000E5B10BAB1DFA234085002A66CEC64A40
Luxussachen;;;;;;;;bag;0101000020E6100000D729A09ADCF9234080129F3BC1C64A40
Dunkin' Donuts;;;;;;;;vacant;0101000020E6100000363BF7C374FA2340B591466007C74A40
Who's Perfect;;;;;;;;furniture;0101000020E6100000CFE8FD350FFA234005D550B4BCC64A40
Leysieffer;;;;;;;;confectionery;0101000020E6100000DB6674513EFA23403A4AB956D6C64A40
Sansibar;;;;;;;;boutique;0101000020E610000039190BF956FA234063CCA7D8E2C64A40
store 4 kids;;;;;;;;boutique;0101000020E6100000E9EB9EE172F92340A4E2FF8EA8C64A40
Cafe Rouge;;;;;;cafe;;;0101000020E6100000A7A498CD2DFA23408473FC06DCC64A40
Hanse CD;;;;;;;;music;0101000020E6100000FFD6A94DF7F92340499748B3C3C64A40
Henders;;;;;;;;clothes;0101000020E61000002978AFFFDFF92340576B1789BFC64A40
Landhaus An den Karpfenteichen;;Holm;25488;Sauernbeeksweg;2;restaurant;;;0101000020E61000000CADF314DE562340BA15C26A2CCE4A40
nettprint;;;;;;;;copyshop;0101000020E6100000EB37B81913FB2340CC8D339765C74A40
Gold & Juwelen an der Esplanade;;;;;;;;jewelry;0101000020E61000006D21C84109FB234008A6E4E665C74A40
Münz- und Briefmarkenhandel Joachim D. Matthies;;;;;;;;stamps;0101000020E6100000A1E69AB80BFB23409F7F16A64AC74A40
Hamburger Fischerstube;;;;;;restaurant;;;0101000020E6100000BEE94C90C7FA2340298FB81160C74A40
Trittmacher;;;;;;;;florist;0101000020E6100000976F229FFCFA2340EC1F9FEB56C74A40
;;;;;;;;vacant;0101000020E6100000E7806E79F6FA2340D289A9995AC74A40
Papier & Feder;;;;;;;;stationery;0101000020E610000090C8D2E2E7FA2340A4E6ABE463C74A40
;;;;;;;;appliance;0101000020E6100000844A5CC7B8FA2340D87D6C3766C74A40
Pronta Moda;;;;;;;;shoes;0101000020E61000000AC3DBDEC9FA23401EED6E545DC74A40
American Boots;;;;;;;;shoes;0101000020E610000005B7FF1202FB23401D96067E54C74A40
Il Ristorante Italiano;;;;;;restaurant;;;0101000020E6100000734D81CCCEFA23409D908C8B59C74A40
stories!;;;;;;;;books;0101000020E61000003DE8233A15FA2340ADE3F8A1D2C64A40
Graf Cox;;;;;;;;jewelry;0101000020E61000004609FA0B3DFA23403BA1212DDFC64A40
Tabacalera Hanseatica;;;;;;;;tobacco;0101000020E6100000EA4A5F63F2F9234028806264C9C64A40
Falke;;;;;;;;clothes;0101000020E6100000EC843C2762FA2340F699B33EE5C64A40
Tott & Co;;Hamburg;20354;Große Bleichen;36;;;shoes;0101000020E61000009A59F047F6F92340694F13C7CBC64A40
Ringe Anke Baumgarten;;;;;;;;jewelry;0101000020E61000008BC6DADFD9FA2340D0A2D2E352C74A40
Caravela;;;;;;cafe;;;0101000020E6100000FB754C82DCFA2340D1F0C1C650C74A40
Konplott;;;;;;;;jewelry;0101000020E610000068BBF89111FA23403EE4D29DCCC64A40
Crossfords Number One;;;;;;;;shoes;0101000020E6100000535DC0CB0CFB234040202B5327C74A40
Lindner;;;;;;;;deli;0101000020E6100000CDBA359F29FA23406EFB1EF5D7C64A40
Bricks;;;;;;bar;;;0101000020E6100000588E35C8C9F9234050430A54B5C64A40
Crickit;;;;;;;;shoes;0101000020E610000009F1924957FA234077741200D2C64A40
Le Velo;;;;;;;;bicycle;0101000020E6100000D55C6E30D4F9234020D61BB5C2C64A40
Handelshaus Laegel;;;;;;;;houseware;0101000020E6100000D2538957FEF92340124A044FC6C64A40
Barbour;;;;;;;;boutique;0101000020E6100000DA9C39DA27FA2340A7B62FFBD0C64A40
Edmund Arnold;;;;;;;;jewelry;0101000020E61000005D73A2B83EFB234074243C461EC74A40
