name;operator;network;wheelchair;geom
Burgstraße;;;;0101000020E61000007641333E82152440E3CD757522C74A40
S Holstenstraße;;;;0101000020E6100000682B8AB212E6234083BBFD03F6C74A40
Oberstraße;;;;0101000020E6100000CBD12D8551FA23405DFB027AE1C94A40
Schönsberg;;;;0101000020E6100000133F106AD0392440FD1FBB664DD44A40
Nehlsstraße;;HVV;;0101000020E6100000BBB5F1CC70F02340355AB33ADEC34A40
Messehallen;;;;0101000020E61000003C8908FF22F42340F172C7516FC74A40
Osdorfer Weg;;;;0101000020E6100000D1EEEB1BF3C92340B4D59B0766C84A40
Schönsberg;;;;0101000020E61000009D5901744E3A24405192640C62D44A40
Stadtbahnstraße;;;;0101000020E61000006BB52C04DE3624406BE8B00CBBD34A40
Osdorfer Weg;;;;0101000020E61000008A1B5CDF2CCA2340B35CDB8074C84A40
Osdorfer Weg;;;;0101000020E610000009185DDE1CCA234084937E0C67C84A40
Garstedt, Südportal;;;;0101000020E6100000CDD6B09586F823405F2E3DF5A3D34A40
Schützenstraße (Mitte);;HVV;yes;0101000020E6100000E026ED574BDB2340EF1F0BD121C84A40
Osdorfer Weg;;;;0101000020E61000006217A0C8EEC92340BA707BDD7DC84A40
Wedel, Gärtnerstraße;;;;0101000020E610000085DF3C8B94642340A5935B49E1CA4A40
Wedel, Gärtnerstraße;;;;0101000020E6100000D4009475EE642340B20B5064F7CA4A40
Wedel, Steinberg;;;;0101000020E6100000A06692A2DF642340D854CCF742CB4A40
Wedel, Steinberg;;;;0101000020E6100000EC83D151B36423402AFFFFA446CB4A40
Wedel, Schauenburgerstraße;;;;0101000020E61000008057152BB46123409C3924B550CB4A40
Wedel, Lülanden;;;;0101000020E61000000D7F3CAA50632340D944662E70CB4A40
Wedel, Hatzburgtwiete;;;;0101000020E61000006C56C73BD15F23405A7A7E62AECB4A40
Wedel, Hatzburgtwiete;;;;0101000020E61000003DE58700965F234024B2B4F8B9CB4A40
